(Example of...),(Result...),(Filter step),target_url,target_url_domain,final_url,final_url_domain,final_url_website,canonical_link,final_url_mimetype,final_url_live,target_url_redirects,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,final_url_status_code,target_url_404_test,primary_scan_status
Duplicate Target URL,Removed in Federal Website Index creation process,1,www.epa.gov,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Website components,Removed in Federal Website Index creation process,2,assets.mcc.gov,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Staging and development,Removed in Federal Website Index creation process,2,staging.regulations.gov,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin panel,Removed in Federal Website Index creation process,2,admin.crimesolutions.gov,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
State/local/tribal,Removed in Federal Website Index creation process,3,csp.wisconsin.gov	,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Not a .gov domain,Removed in Federal Website Index creation process,3,health.mil,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Not a .gov domain,Removed in Federal Website Index creation process,3,tools.usps.com	,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Not a current .gov domain,Removed in Federal Website Index creation process,3,everykidinapark.gov,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4xx server code,Removed from 'All' snapshot when making the 'Primary' snapshot,4,naah.fws.gov,fws.gov,https://www.fws.gov/aah/,fws.gov,www.fws.gov,https://www.fws.gov/404,text/html,FALSE,TRUE,TRUE,FALSE,Department of the Interior,U.S. Fish and Wildlife Service,404,TRUE,completed
4xx server code,Removed from 'All' snapshot when making the 'Primary' snapshot,4,imp.cms.gov,cms.gov,https://imp.cms.gov/,cms.gov,imp.cms.gov,,text/html,FALSE,FALSE,TRUE,TRUE,Department of Health and Human Services,Centers for Medicare and Medicaid Services,403,FALSE,completed
5xx server code,Removed from 'All' snapshot when making the 'Primary' snapshot,4,caribbean.fws.gov,fws.gov,https://caribbean.fws.gov/,fws.gov,caribbean.fws.gov,,text/html,FALSE,FALSE,TRUE,TRUE,Department of the Interior,U.S. Fish and Wildlife Service,503,FALSE,completed
5xx server code,Removed from 'All' snapshot when making the 'Primary' snapshot,4,sabdata.cr.usgs.gov,usgs.gov,https://sabdata.cr.usgs.gov/error.aspx?aspxerrorpath=/index.aspx,usgs.gov,sabdata.cr.usgs.gov,,text/html,FALSE,TRUE,TRUE,TRUE,Department of the Interior,U.S. Geological Survey,500,TRUE,completed
Did not resolve - DNS,Removed from 'All' snapshot when making the 'Primary' snapshot,4,fohwebitiostage.foh.psc.gov,psc.gov,--,--,--,--,--,--,--,--,--,Department of Health and Human Services,"Program Support Center, Office of the Secretary",--,--,dns_resolution_error
Did not resolve - Timeout,Removed from 'All' snapshot when making the 'Primary' snapshot,4,dmv.cso.nasa.gov,nasa.gov,--,--,--,--,--,--,--,--,--,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,--,--,timeout
Did not resolve - Invalid SSL,Removed from 'All' snapshot when making the 'Primary' snapshot,4,greenlock.lanl.gov,lanl.gov,--,--,--,--,--,--,--,--,--,Department of Energy,Los Alamos National Laboratory,--,--,invalid_ssl_cert
"x.gov works, but www.x.gov does not",Never filtered out,-,greengov.gov,greengov.gov,https://greengov.gov/,greengov.gov,greengov.gov,,text/html,TRUE,FALSE,TRUE,TRUE,Environmental Protection Agency,Office of Federal Sustainability,200,FALSE,completed
"x.gov works, but www.x.gov does not",Removed from 'All' snapshot when making the 'Primary' snapshot,4,www.greengov.gov,greengov.gov,https://www.greengov.gov/,greengov.gov,www.greengov.gov,,text/plain,FALSE,FALSE,TRUE,TRUE,Environmental Protection Agency,Office of Federal Sustainability,503,FALSE,completed
"www.x.gov works, but x.gov does not",Removed from 'All' snapshot when making the 'Primary' snapshot,4,fedcenter.gov,fedcenter.gov,https://fedcenter.gov/,fedcenter.gov,fedcenter.gov,,text/html,FALSE,FALSE,TRUE,TRUE,Environmental Protection Agency,Environmental Protection Agency,404,TRUE,completed
"www.x.gov works, but x.gov does not",Never filtered out,-,www.fedcenter.gov,fedcenter.gov,https://www.fedcenter.gov/,fedcenter.gov,www.fedcenter.gov,,text/html,TRUE,FALSE,TRUE,TRUE,Environmental Protection Agency,Environmental Protection Agency,200,TRUE,completed
Dup. redirect to same Final URL; no 'right' Target URL to prioritize,Kept in the Unique Final URL snapshot,5,auctionbidding.fcc.gov,fcc.gov,https://auctionsignon.fcc.gov/signon/index.htm,fcc.gov,auctionsignon.fcc.gov,,text/html,TRUE,FALSE,TRUE,FALSE,Federal Communications Commission,Federal Communications Commission,200,TRUE,completed
Dup. redirect to same Final URL; no 'right' Target URL to prioritize,Removed from the 'Primary' snapshot when making the 'Unique Final URL' snapshot,5,auctionfiling.fcc.gov,fcc.gov,https://auctionsignon.fcc.gov/signon/index.htm,fcc.gov,auctionsignon.fcc.gov,,text/html,TRUE,FALSE,TRUE,FALSE,Federal Communications Commission,Federal Communications Commission,200,TRUE,completed
Dup. redirect to same Final URL; no 'right' Target URL to prioritize,Removed from the 'Primary' snapshot when making the 'Unique Final URL' snapshot,5,auctions.fcc.gov,fcc.gov,https://auctionsignon.fcc.gov/signon/index.htm,fcc.gov,auctionsignon.fcc.gov,,text/html,TRUE,FALSE,TRUE,FALSE,Federal Communications Commission,Federal Communications Commission,200,TRUE,completed
Dup. redirect to same Final URL; one being most representative,Kept in the 'Unique Final URL' snapshot,5,ams.hhs.gov,hhs.gov,https://ams.hhs.gov/amsLogin/SimpleLogin.jsp,hhs.gov,ams.hhs.gov,,text/html,TRUE,FALSE,TRUE,TRUE,Department of Health and Human Services,Office of the Secretary,200,FALSE,completed
Dup. redirect to same Final URL; one being most representative,Removed from the 'Primary' snapshot when making the 'Unique Final URL' snapshot,5,learning.hhs.gov,hhs.gov,https://ams.hhs.gov/amsLogin/SimpleLogin.jsp,hhs.gov,ams.hhs.gov,,text/html,TRUE,FALSE,TRUE,FALSE,Department of Health and Human Services,Office of the Secretary,200,TRUE,completed
Different Final URLs but same website,Removed from the 'Unique Final URL' snapshot when making the 'Unique Final Website' snapshot,6,dhds.cdc.gov,cdc.gov,https://www.cdc.gov/ncbddd/disabilityandhealth/dhds/index.html?CDC_AA_refVal=https%3A%2F%2Fwww.cdc.gov%2Fncbddd%2Fdisabilityandhealth%2Fdhds.html,cdc.gov,www.cdc.gov,https://www.cdc.gov/ncbddd/disabilityandhealth/dhds/index.html,text/html,TRUE,FALSE,TRUE,FALSE,Department of Health and Human Services,Centers For Disease Control and Prevention,200,FALSE,timeout
Different Final URLs but same website,Kept in the 'Unique Final Website' snapshot,6,www.cdc.gov,cdc.gov,https://www.cdc.gov/,cdc.gov,www.cdc.gov,https://www.cdc.gov/index.htm,text/html,TRUE,FALSE,TRUE,TRUE,Department of Health and Human Services,Centers For Disease Control and Prevention,200,TRUE,completed
Different Final URLs but same website,Removed from the 'Unique Final URL' snapshot when making the 'Unique Final Website' snapshot,6,ddt-vehss.cdc.gov,cdc.gov,https://www.cdc.gov/visionhealth/vehss/index.html,cdc.gov,www.cdc.gov,https://www.cdc.gov/visionhealth/vehss/index.html,text/html,TRUE,FALSE,TRUE,FALSE,Department of Health and Human Services,Centers For Disease Control and Prevention,200,FALSE,completed
