Agency,Bureau,OMB Codes - Agency,OMB Codes - Bureau,Treasury Agency Codes,CGAC Agency Codes
Legislative Branch,Senate,1,5,0,0
Legislative Branch,House of Representatives,1,10,0,0
Legislative Branch,Joint Items,1,11,0,0
Legislative Branch,Capitol Police,1,13,2,2
Legislative Branch,Office of Congressional Workplace Rights,1,12,9,9
Legislative Branch,Congressional Budget Office,1,14,8,8
Legislative Branch,Architect of the Capitol,1,15,1,1
Legislative Branch,Botanic Garden,1,18,9,9
Legislative Branch,Library of Congress,1,25,3,3
Legislative Branch,Government Publishing Office,1,30,4,4
Legislative Branch,Government Accountability Office,1,35,5,5
Legislative Branch,United States Tax Court,1,40,23,23
Legislative Branch,Legislative Branch Boards and Commissions,1,45,9,9
Legislative Branch,Legislative Branch Boards and Commissions,1,45,48,Multiple
Legislative Branch,Legislative Branch Boards and Commissions,1,45,95,Multiple
Judicial Branch,Judicial Branch,2,0,10,10
Judicial Branch,Supreme Court of the United States,2,5,10,10
Judicial Branch,United States Court of Appeals for the Federal Circuit,2,7,10,10
Judicial Branch,United States Court of International Trade,2,15,10,10
Judicial Branch,"Courts of Appeals, District Courts, and Other Judicial Services",2,25,10,10
Judicial Branch,Administrative Office of the United States Courts,2,26,10,10
Judicial Branch,Federal Judicial Center,2,30,10,10
Judicial Branch,Judicial Retirement Funds,2,35,10,10
Judicial Branch,United States Sentencing Commission,2,39,10,10
Department of Agriculture,Department of Agriculture,5,0,12,12
Department of Agriculture,Office of the Secretary,5,3,12,12
Department of Agriculture,Executive Operations,5,4,12,12
Department of Agriculture,Office of Chief Information Officer,5,12,12,12
Department of Agriculture,Office of Chief Financial Officer,5,14,12,12
Department of Agriculture,Office of Civil Rights,5,7,12,12
Department of Agriculture,Hazardous Materials Management,5,16,12,12
Department of Agriculture,Buildings and Facilities,5,19,12,12
Department of Agriculture,Office of Inspector General,5,8,12,12
Department of Agriculture,Office of the General Counsel,5,10,12,12
Department of Agriculture,Economic Research Service,5,13,12,12
Department of Agriculture,National Agricultural Statistics Service,5,15,12,12
Department of Agriculture,Agricultural Research Service,5,18,12,12
Department of Agriculture,National Institute of Food and Agriculture,5,20,12,12
Department of Agriculture,Animal and Plant Health Inspection Service,5,32,12,12
Department of Agriculture,Food Safety and Inspection Service,5,35,12,12
Department of Agriculture,Agricultural Marketing Service,5,45,12,12
Department of Agriculture,Farm Production and Conservation,5,25,12,12
Department of Agriculture,Risk Management Agency,5,47,12,12
Department of Agriculture,Farm Service Agency,5,49,12,12
Department of Agriculture,Natural Resources Conservation Service,5,53,12,12
Department of Agriculture,Rural Development,5,55,12,12
Department of Agriculture,Rural Housing Service,5,63,12,12
Department of Agriculture,Rural Business-Cooperative Service,5,65,12,12
Department of Agriculture,Rural Utilities Service,5,60,12,12
Department of Agriculture,Foreign Agricultural Service,5,68,12,12
Department of Agriculture,Food and Nutrition Service,5,84,12,12
Department of Agriculture,Forest Service,5,96,12,12
Department of Commerce,Department of Commerce,6,0,13,13
Department of Commerce,Departmental Management,6,5,13,13
Department of Commerce,Economic Development Administration,6,6,13,13
Department of Commerce,Bureau of the Census,6,7,13,13
Department of Commerce,Bureau of Economic Analysis,6,8,13,13
