agency,domain,domaintype,lastmodified,organization,scan_data_url,scantype,/,/cj,/code.json,/coronavirus,/data,/data.json,/developer,/digitalstrategy,/digitalstrategy/FITARAmilestones.json,/digitalstrategy/bureaudirectory.json,/digitalstrategy/costsavings.json,/digitalstrategy/datacenteroptimizationstrategicplan.json,/digitalstrategy/governanceboards.json,/open,/privacy,/redirecttest-foo-bar-baz,/robots.txt,/sitemap.xml,dap_detected,dap_parameters,dap_parameters,domain,domain,invalid,status_code
General Services Administration,accessibility.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/accessibility.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,accessibility.18f.gov,accessibility.18f.gov,,200
General Services Administration,afadvantage.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,US General Services Administration,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/afadvantage.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,200,404,False,,,afadvantage.gov,afadvantage.gov,,200
General Services Administration,18f.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,18F,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/18f.gov.json,200scanner,200,404,404,404,404,404,200,404,404,404,404,404,404,404,404,404,200,200,True,agency=GSA&subagency=18F,agency=GSA&subagency=18F,18f.gov,18f.gov,,200
General Services Administration,agile-labor-categories.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/agile-labor-categories.18f.gov.json,200scanner,200,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,False,,,agile-labor-categories.18f.gov,agile-labor-categories.18f.gov,,200
General Services Administration,acqstack-journeymap.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/acqstack-journeymap.18f.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,False,,,acqstack-journeymap.18f.gov,acqstack-journeymap.18f.gov,,200
General Services Administration,api-all-the-x.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/api-all-the-x.18f.gov.json,200scanner,200,200,200,200,200,200,200,200,429,429,429,200,429,200,200,429,200,200,False,,,api-all-the-x.18f.gov,api-all-the-x.18f.gov,,200
General Services Administration,ads.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/ads.18f.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,False,,,ads.18f.gov,ads.18f.gov,,200
General Services Administration,api-program.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/api-program.18f.gov.json,200scanner,200,429,200,200,200,200,200,200,429,429,429,429,429,200,200,429,200,200,False,,,api-program.18f.gov,api-program.18f.gov,,200
General Services Administration,acquisition.gov,Federal Agency - Executive,2020-06-14T02:01:41Z,Integrated Acquisition Environment,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/acquisition.gov.json,200scanner,200,404,404,200,404,404,404,404,-1,404,404,404,404,404,404,-1,200,200,True,agency=GSA&pua=UA-104075855-1,agency=GSA&pua=UA-104075855-1,acquisition.gov,acquisition.gov,,200
General Services Administration,agile-bpa.18f.gov,,2020-06-14T02:01:41Z,,https://s3-us-gov-west-1.amazonaws.com/cg-852a6196-0fdb-4a01-a16f-6c24379722cb/200scanner/agile-bpa.18f.gov.json,200scanner,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,False,,,agile-bpa.18f.gov,agile-bpa.18f.gov,,200
