Agency Group,Bureau / Office,OMB Agency Code,OMB Bureau Code,Treasury Agency Code,CGAC Agency Code
International Assistance Programs,United States International Development Finance Corporation,184,22,77,077
International Assistance Programs,Peace Corps,184,35,11,011
International Assistance Programs,Inter-American Foundation,184,40,95,164
International Assistance Programs,African Development Foundation,184,50,95,166
International Assistance Programs,International Monetary Programs,184,60,11,011
International Assistance Programs,Military Sales Program,184,70,11,"011, 097"
International Assistance Programs,Foreign Assistance Program Allowances,184,95,95,524
Department of Transportation,Department of Transportation,021,00,69,069
Department of Transportation,Office of the Secretary,021,04,69,069
Department of Transportation,Federal Aviation Administration,021,12,69,069
Department of Transportation,Federal Highway Administration,021,15,69,069
Department of Transportation,Federal Motor Carrier Safety Administration,021,17,69,069
Department of Transportation,National Highway Traffic Safety Administration,021,18,69,069
Department of Transportation,Federal Railroad Administration,021,27,69,069
Department of Transportation,Federal Transit Administration,021,36,69,069
Department of Transportation,Saint Lawrence Seaway Development Corporation,021,40,69,069
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,021,50,69,069
Department of Transportation,Office of Inspector General,021,56,69,069
Department of Transportation,Surface Transportation Board,021,61,69,069
Department of Transportation,Maritime Administration,021,70,69,069
Department of the Treasury,Department of the Treasury,015,00,20,020
Department of the Treasury,Departmental Offices,015,05,20,020
Department of the Treasury,Financial Crimes Enforcement Network,015,04,20,020
Department of the Treasury,Fiscal Service,015,12,20,020
Department of the Treasury,Federal Financing Bank,015,11,20,020
Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,015,13,20,020
Department of the Treasury,Bureau of Engraving and Printing,015,20,20,020
Department of the Treasury,United States Mint,015,25,20,020
Department of the Treasury,Internal Revenue Service,015,45,20,020
Department of the Treasury,Comptroller of the Currency,015,57,20,020
Department of the Treasury,Interest on the Public Debt,015,60,20,020
Department of Veterans Affairs,Department of Veterans Affairs,029,00,36,036
Department of Veterans Affairs,Veterans Health Administration,029,15,36,036
Department of Veterans Affairs,Benefits Programs,029,25,36,036
Department of Veterans Affairs,Departmental Administration,029,40,36,036
Corps of Engineers--Civil Works,Corps of Engineers--Civil Works,202,00,96,096
Other Defense Civil Programs,Military Retirement,200,05,97,097
Other Defense Civil Programs,Retiree Health Care,200,07,97,097
Other Defense Civil Programs,Educational Benefits,200,10,97,097
Other Defense Civil Programs,American Battle Monuments Commission,200,15,74,074
Other Defense Civil Programs,Armed Forces Retirement Home,200,20,84,"017, 084"
Other Defense Civil Programs,Cemeterial Expenses,200,25,21,021
Other Defense Civil Programs,"Forest and Wildlife Conservation, Military Reservations",200,30,"17, 97","017, 097"
Other Defense Civil Programs,Selective Service System,200,45,90,090
Other Defense Civil Programs,Other Defense Civil Programs,200,00,84,084
Environmental Protection Agency,Environmental Protection Agency,020,00,68,068
Executive Office of the President,The White House,100,05,11,011
Executive Office of the President,Executive Residence at the White House,100,10,11,011
Executive Office of the President,Special Assistance to the President and the Official Residence of the Vice President,100,15,11,011
Executive Office of the President,Council of Economic Advisers,100,20,11,011
Executive Office of the President,Council on Environmental Quality and Office of Environmental Quality,100,25,11,011
Executive Office of the President,National Security Council and Homeland Security Council,100,35,11,011
Executive Office of the President,Office of the National Cyber Director,100,37,11,011
Executive Office of the President,Office of Pandemic Preparedness and Response,100,38,11,011
Executive Office of the President,Office of Administration,100,50,11,011
Executive Office of the President,Office of Management and Budget,100,55,11,011
Executive Office of the President,Office of National Drug Control Policy,100,60,11,011
Executive Office of the President,Office of Science and Technology Policy,100,65,11,011
Executive Office of the President,National Space Council,100,40,11,011
Executive Office of the President,Office of the United States Trade Representative,100,70,11,011
Executive Office of the President,Unanticipated Needs,100,95,11,011
General Services Administration,General Services Administration,023,00,47,047
General Services Administration,Real Property Activities,023,05,47,047
General Services Administration,Supply and Technology Activities,023,10,47,047
General Services Administration,General Activities,023,30,47,047
National Aeronautics and Space Administration,National Aeronautics and Space Administration,026,00,80,080
National Science Foundation,National Science Foundation,422,00,49,049
Office of Personnel Management,Office of Personnel Management,027,00,24,024
Small Business Administration,Small Business Administration,028,00,73,073
Social Security Administration,Social Security Administration,016,00,28,"028, 075"
Other Agencies,400 Years of African-American History Commission,247,00,48,247
Other Agencies,Access Board,310,00,95,310
Other Agencies,Administrative Conference of the United States,302,00,95,302
Other Agencies,Advisory Council on Historic Preservation,306,00,95,306
Other Agencies,Alyce Spotted Bear and Walter Soboleff Commission on Native Children,545,00,48,545
Other Agencies,Appalachian Regional Commission,309,00,46,309
Other Agencies,Barry Goldwater Scholarship and Excellence in Education Foundation,313,00,95,313
Other Agencies,Bureau of Consumer Financial Protection,581,00,95,581
Other Agencies,Central Intelligence Agency,316,00,56,056
Other Agencies,Chemical Safety and Hazard Investigation Board,510,00,95,510
Other Agencies,Civil Rights Cold Case Records Review Board,130,00,48,130
Other Agencies,Commission of Fine Arts,323,00,95,323
Other Agencies,Commission on Civil Rights,326,00,95,326
Other Agencies,Commission on Combating Synthetic Opioid Trafficking,256,00,48,256
Other Agencies,Committee for Purchase from People who are Blind or Severely Disabled,338,00,95,338
Other Agencies,Commodity Futures Trading Commission,339,00,95,339
Other Agencies,Consumer Product Safety Commission,343,00,61,061
Other Agencies,Corporation for National and Community Service,485,00,95,485
Other Agencies,Corporation for Public Broadcasting,344,00,20,020
Other Agencies,Council of the Inspectors General on Integrity and Efficiency,542,00,95,542
Other Agencies,Court Services and Offender Supervision Agency for the District of Columbia,511,00,95,511
Other Agencies,Defense Nuclear Facilities Safety Board,347,00,95,347
Other Agencies,Delta Regional Authority,517,00,95,517
Other Agencies,Denali Commission,513,00,95,513
Other Agencies,District of Columbia Courts,349,10,20,020
Other Agencies,District of Columbia Courts,349,10,95,349
Other Agencies,District of Columbia General and Special Payments,349,30,20,020
Other Agencies,Election Assistance Commission,525,00,95,525
Other Agencies,Equal Employment Opportunity Commission,350,00,45,045
Other Agencies,Export-Import Bank of the United States,351,00,83,083
Other Agencies,Farm Credit Administration,352,00,78,352
Other Agencies,Farm Credit System Insurance Corporation,355,00,78,355
Other Agencies,Federal Communications Commission,356,00,27,027
Other Agencies,Federal Deposit Insurance Corporation - Deposit Insurance,357,20,51,051
Other Agencies,Federal Deposit Insurance Corporation - FSLIC Resolution,357,30,51,051
Other Agencies,Federal Deposit Insurance Corporation - Orderly Liquidation,357,35,51,051
Other Agencies,Federal Deposit Insurance Corporation - FDIC Office of Inspector General,357,40,51,051
Other Agencies,Federal Drug Control Programs,154,00,11,011
Other Agencies,Federal Election Commission,360,00,95,360
Other Agencies,Federal Financial Institutions Examination Council,362,10,95,362
Other Agencies,Federal Financial Institutions Examination Council Appraisal Subcommittee,362,20,95,362
Other Agencies,Federal Housing Finance Agency,537,00,95,537
Other Agencies,Federal Labor Relations Authority,365,00,54,054
Other Agencies,Federal Maritime Commission,366,00,65,065
Other Agencies,Federal Mediation and Conciliation Service,367,00,93,093
Other Agencies,Federal Mine Safety and Health Review Commission,368,00,95,368
Other Agencies,Federal Permitting Improvement Council,473,00,95,473
Other Agencies,Federal Trade Commission,370,00,29,029
Other Agencies,Great Lakes Authority,589,00,95,589
Other Agencies,Gulf Coast Ecosystem Restoration Council,586,00,95,471
Other Agencies,Harry S Truman Scholarship Foundation,372,00,95,372
Other Agencies,Independent Payment Advisory Board,578,00,95,578
Other Agencies,Indian Law and Order Commission,584,00,48,584
Other Agencies,Institute of American Indian and Alaska Native Culture and Arts Development,373,00,95,373
Other Agencies,Institute of Museum and Library Services,474,00,53,474
Other Agencies,Intelligence Community Management Account,467,00,95,467
Other Agencies,International Trade Commission,378,00,34,034
Other Agencies,James Madison Memorial Fellowship Foundation,381,00,95,381
Other Agencies,Japan-United States Friendship Commission,382,00,95,382
Other Agencies,Legal Services Corporation,385,00,20,020
Other Agencies,Marine Mammal Commission,387,00,95,387
Other Agencies,Merit Systems Protection Board,389,00,41,389
Other Agencies,Military Compensation and Retirement Modernization Commission,479,00,48,479
Other Agencies,Morris K. Udall and Stewart L. Udall Foundation,487,00,95,487
Other Agencies,National Archives and Records Administration,393,00,88,088
Other Agencies,National Capital Planning Commission,394,00,95,394
Other Agencies,"National Commission on Military, National, and Public Service",236,00,48,236
Other Agencies,National Commission on Military Aviation Safety,246,00,48,246
Other Agencies,National Council on Disability,413,00,95,413
Other Agencies,National Credit Union Administration,415,00,25,025
Other Agencies,National Endowment for the Arts,417,00,59,417
Other Agencies,National Endowment for the Humanities,418,00,43,418
Other Agencies,National Labor Relations Board,420,00,63,420
Other Agencies,National Mediation Board,421,00,95,421
Other Agencies,National Railroad Passenger Corporation Office of Inspector General,575,00,48,575
Other Agencies,National Security Commission on Artificial Intelligence,245,00,48,245
Other Agencies,National Transportation Safety Board,424,00,95,424
Other Agencies,Neighborhood Reinvestment Corporation,428,00,82,082
Other Agencies,Northern Border Regional Commission,573,00,95,573
Other Agencies,Nuclear Regulatory Commission,429,00,31,031
Other Agencies,Nuclear Waste Technical Review Board,431,00,48,431
Other Agencies,Occupational Safety and Health Review Commission,432,00,95,432
Other Agencies,Office of Government Ethics,434,00,95,434
Other Agencies,Office of Navajo and Hopi Indian Relocation,435,00,48,435
Other Agencies,Office of Special Counsel,436,00,62,062
Other Agencies,Office of the Federal Coordinator for Alaska Natural Gas Transportation,534,00,95,534
Other Agencies,Other Commissions and Boards,505,00,48,Multiple
Other Agencies,Other Commissions and Boards,505,00,95,Multiple
Other Agencies,Patient-Centered Outcomes Research Trust Fund,579,00,95,579
Other Agencies,Postal Service,440,00,18,018
Other Agencies,Presidio Trust,512,00,95,512
Other Agencies,Privacy and Civil Liberties Oversight Board,535,00,95,535
Other Agencies,Public Buildings Reform Board,290,00,48,290
Other Agencies,Public Defender Service for the District of Columbia,587,00,95,511
Other Agencies,Puerto Rico Oversight Board,328,00,48,328
Other Agencies,Railroad Retirement Board,446,00,60,060
Other Agencies,Recovery Act Accountability and Transparency Board,539,00,95,539
Other Agencies,Securities and Exchange Commission,449,00,50,050
Other Agencies,Smithsonian Institution,452,00,33,033
Other Agencies,Southeast Crescent Regional Commission,574,00,95,574
Other Agencies,Southwest Border Regional Commission,569,00,95,569
Other Agencies,State Justice Institute,453,00,48,453
Other Agencies,Surface Transportation Board,472,00,95,472
Other Agencies,Tennessee Valley Authority,455,00,64,455
Other Agencies,United States Agency for Global Media,514,00,95,514
Other Agencies,United States Court of Appeals for Veterans Claims,345,00,95,345
Other Agencies,United States Enrichment Corporation Fund,486,00,95,486
Other Agencies,United States Holocaust Memorial Museum,456,00,95,456
Other Agencies,United States Institute of Peace,458,00,95,458
Other Agencies,United States Interagency Council on Homelessness,376,00,48,376
Other Agencies,Vietnam Education Foundation,519,00,95,519
Federally Created Non-Federal Entities,Affordable Housing Program,530,00,95,530
Federally Created Non-Federal Entities,Corporation for Travel Promotion,580,00,95,580
Federally Created Non-Federal Entities,Electric Reliability Organization,531,00,95,531
Federally Created Non-Federal Entities,Federal Retirement Thrift Investment Board,369,00,26,026
Federally Created Non-Federal Entities,Medical Center Research Organizations,185,00,99,185
Federally Created Non-Federal Entities,National Association of Registered Agents and Brokers,543,00,95,543
Federally Created Non-Federal Entities,National Oilheat Research Alliance,544,00,48,544
Federally Created Non-Federal Entities,Public Company Accounting Oversight Board,526,00,95,526
Federally Created Non-Federal Entities,Securities Investor Protection Corporation,576,00,95,576
Federally Created Non-Federal Entities,Standard Setting Body,527,00,95,527
Federally Created Non-Federal Entities,United Mine Workers of America Benefit Funds,476,00,95,476
Government Sponsored Enterprises,Federal National Mortgage Association,915,00,39,915
Government Sponsored Enterprises,Federal Home Loan Mortgage Corporation,914,00,39,"913, 914"
Government Sponsored Enterprises,Federal Home Loan Bank System,913,00,39,913
Government Sponsored Enterprises,Farm Credit System,912,00,39,912
Financing Vehicles and the Board of Governors of the Federal Reserve,Financing Vehicles and the Board of Governors of the Federal Reserve,920,00,39,920
,,,,,
,,,,,
,,,,,
,,,,,
"* Under Department of Defense-Military Programs, Treasury agency codes and CGAC agency codes are assigned as follows:",,,,,
Agency,,,,Treasury Agency Code,CGAC Agency Code
"Navy, Marine Corps",,,,17,017
Army,,,,21,021
Air Force,,,,57,057
Defense-wide,,,,97,097
,,,,,
"In a small number of cases where budget agency (or bureau) does not correspond to a single CGAC agency code, this crosswalk shows multiple CGAC agencies. This happens in Other Defense, Civil, International Assistance Programs, and several other agencies.",,,,,
